County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,4,66,1473,2465,385,37,4430
Alpine,0,0,6,0,0,0,6
Amador,0,0,26,0,8,0,34
Butte,6,0,59,55,26,0,146
Calaveras,0,2,11,0,12,0,25
Colusa,0,0,14,2,18,0,34
Contra Costa,0,2,633,606,254,8,1503
Del Norte,0,0,14,1,22,2,39
El Dorado,1,0,138,4,45,1,189
Fresno,22,1,487,455,312,14,1291
Glenn,0,0,4,0,10,0,14
Humboldt,0,0,111,10,33,0,154
Imperial,0,0,12,12,24,1,49
Inyo,0,0,8,5,34,1,48
Kern,5,1,181,248,252,4,691
Kings,0,0,49,247,114,0,410
Lake,0,0,14,0,0,0,14
Lassen,0,1,7,0,8,0,16
Los Angeles,29,120,7269,17751,1556,290,27015
Madera,0,1,53,40,86,10,190
Marin,1,0,459,484,83,0,1027
Mariposa,0,0,28,0,18,0,46
Mendocino,0,0,127,20,39,0,186
Merced,10,2,33,31,56,3,135
Modoc,0,0,4,0,8,0,12
Mono,0,0,19,7,12,0,38
Monterey,0,0,216,62,145,1,424
Napa,0,0,330,24,42,0,396
Nevada,0,1,72,43,53,0,169
Orange,1,0,2666,1994,700,22,5383
Placer,0,1,207,106,137,4,455
Plumas,0,0,7,0,0,0,7
Riverside,0,1,990,179,454,11,1635
Sacramento,65,18,988,646,303,20,2040
San Benito,0,0,10,10,25,0,45
San Bernardino,3,11,679,490,467,32,1682
San Diego,2,17,2266,4860,561,29,7735
San Francisco,9,6,656,1126,121,34,1952
San Joaquin,0,0,198,280,141,13,632
San Luis Obispo,0,1,360,158,129,2,650
San Mateo,2,36,2013,2196,301,9,4557
Santa Barbara,1,2,286,124,97,2,512
Santa Clara,2,75,3632,13192,659,61,17621
Santa Cruz,1,0,188,91,79,0,359
Shasta,0,0,71,48,30,4,153
Sierra,0,0,1,0,0,0,1
Siskiyou,0,1,24,0,42,0,67
Solano,2,0,223,150,105,2,482
Sonoma,0,0,444,228,125,19,816
Stanislaus,0,1,78,47,59,3,188
Sutter,0,0,0,5,16,1,22
Tehama,0,0,8,46,32,1,87
Trinity,0,0,4,0,10,0,14
Tulare,0,3,80,64,61,23,231
Tuolumne,0,0,32,12,14,0,58
Ventura,4,0,387,312,149,6,858
Yolo,14,0,205,132,57,4,412
Yuba,0,0,20,51,4,0,75
Unknown,0,6,0,801,0,0,807
Total,184,376,28580,49920,8533,674,88267
